<<<<<<< HEAD
large-236.in, room size 1, no solution
large-111.in, room size 9, no solution
large-111.in, room size 10, no solution
large-111.in, room size 11, no solution
large-111.in, room size 12, no solution
large-111.in, room size 13, solution found
large-111.in, room size 14, solution found
large-111.in, room size 15, solution found
large-111.in, room size 16, solution found
large-111.in, room size 17, solution found
large-111.in, room size 18, solution found
large-111.in, room size 19, solution found
large-111.in, room size 20, solution found
large-111.in, room size 21, solution found
large-111.in, room size 22, solution found
large-111.in, room size 23, solution found
large-111.in, room size 24, solution found
large-111.in, room size 25, solution found
large-111.in, room size 26, solution found
large-111.in, room size 27, solution found
large-111.in, room size 28, solution found
large-111.in, room size 29, solution found
large-111.in, room size 30, solution found
large-111.in, room size 31, solution found
large-111.in, room size 32, solution found
large-111.in, room size 33, solution found
large-111.in, room size 34, solution found
large-111.in, room size 35, solution found
large-111.in, room size 36, solution found
large-111.in, room size 37, solution found
large-111.in, room size 38, solution found
large-111.in, room size 39, solution found
large-111.in, room size 40, solution found
large-111.in, room size 41, solution found
large-111.in, room size 42, solution found
large-111.in, room size 43, solution found
large-111.in, room size 44, solution found
large-111.in, room size 45, solution found
large-111.in, room size 46, solution found
large-111.in, room size 47, solution found
large-111.in, room size 48, solution found
large-111.in, room size 49, solution found
large-111.in, room size 50, solution found
large-111.in 5523.14
 
-6149.955054998398
large-221.in, room size 1, no solution
large-221.in, room size 2, no solution
large-221.in, room size 3, no solution
large-221.in, room size 4, no solution
large-221.in, room size 5, no solution
large-221.in, room size 6, no solution
large-221.in, room size 7, no solution
large-221.in, room size 8, no solution
large-221.in, room size 9, solution found
large-221.in, room size 10, solution found
large-221.in, room size 11, solution found
large-221.in, room size 12, solution found
large-221.in, room size 13, solution found
large-221.in, room size 14, solution found
large-221.in, room size 15, solution found
large-221.in, room size 16, solution found
large-221.in, room size 17, solution found
large-221.in, room size 18, solution found
large-221.in, room size 19, solution found
large-221.in, room size 20, solution found
large-221.in, room size 21, solution found
large-221.in, room size 22, solution found
large-221.in, room size 23, solution found
large-221.in, room size 24, solution found
large-221.in, room size 25, solution found
large-221.in, room size 26, solution found
large-221.in, room size 27, solution found
large-221.in, room size 28, solution found
large-221.in, room size 29, solution found
large-221.in, room size 30, solution found
large-221.in, room size 31, solution found
large-221.in, room size 32, solution found
large-221.in, room size 33, solution found
large-221.in, room size 34, solution found
large-221.in, room size 35, solution found
large-221.in, room size 36, solution found
large-221.in, room size 37, solution found
large-221.in, room size 38, solution found
large-221.in, room size 39, solution found
large-221.in, room size 40, solution found
large-221.in, room size 41, solution found
large-221.in, room size 42, solution found
large-221.in, room size 43, solution found
large-221.in, room size 44, solution found
large-221.in, room size 45, solution found
large-221.in, room size 46, solution found
large-221.in, room size 47, solution found
large-221.in, room size 48, solution found
large-221.in, room size 49, solution found
large-221.in, room size 50, solution found
large-221.in 789.0
 
-6229.1966207027435
large-238.in, room size 1, no solution
large-238.in, room size 2, no solution
large-238.in, room size 3, no solution
large-238.in, room size 4, no solution
large-238.in, room size 5, no solution
large-238.in, room size 6, no solution
large-238.in, room size 7, no solution
large-238.in, room size 8, no solution
large-238.in, room size 9, no solution
large-238.in, room size 10, no solution
large-238.in, room size 11, no solution
large-238.in, room size 12, no solution
large-238.in, room size 13, no solution
large-238.in, room size 14, no solution
large-238.in, room size 15, no solution
large-238.in, room size 16, solution found
large-238.in, room size 17, solution found
large-238.in, room size 18, solution found
large-238.in, room size 19, solution found
large-238.in, room size 20, solution found
large-238.in, room size 21, solution found
large-238.in, room size 22, solution found
large-238.in, room size 23, no solution
large-238.in, room size 24, solution found
large-238.in, room size 25, solution found
large-238.in, room size 26, solution found
large-238.in, room size 27, solution found
large-238.in, room size 28, solution found
large-238.in, room size 29, solution found
large-238.in, room size 30, solution found
large-238.in, room size 31, solution found
large-238.in, room size 32, solution found
large-238.in, room size 33, solution found
large-238.in, room size 34, solution found
large-238.in, room size 35, solution found
large-238.in, room size 36, solution found
large-238.in, room size 37, solution found
large-238.in, room size 38, solution found
large-238.in, room size 39, solution found
large-238.in, room size 40, solution found
large-238.in, room size 41, solution found
large-238.in, room size 42, solution found
large-238.in, room size 43, solution found
large-238.in, room size 44, solution found
large-238.in, room size 45, solution found
large-238.in, room size 46, solution found
large-238.in, room size 47, solution found
large-238.in, room size 48, solution found
large-238.in, room size 49, solution found
large-238.in, room size 50, solution found
large-238.in 103.0
 
-6205.185122013092
large-232.in, room size 1, no solution
large-232.in, room size 2, no solution
large-232.in, room size 3, no solution
large-232.in, room size 4, no solution
large-232.in, room size 5, no solution
large-232.in, room size 6, no solution
large-232.in, room size 7, no solution
large-232.in, room size 8, no solution
large-232.in, room size 9, no solution
large-232.in, room size 10, no solution
large-232.in, room size 11, no solution
large-232.in, room size 12, no solution
large-232.in, room size 13, no solution
large-232.in, room size 14, no solution
large-232.in, room size 15, no solution
large-232.in, room size 16, no solution
large-232.in, room size 17, no solution
large-232.in, room size 18, no solution
large-232.in, room size 19, no solution
large-232.in, room size 20, solution found
large-232.in, room size 21, solution found
large-232.in, room size 22, solution found
large-232.in, room size 23, solution found
large-232.in, room size 24, solution found
large-232.in, room size 25, solution found
large-232.in, room size 26, solution found
large-232.in, room size 27, solution found
large-232.in, room size 28, solution found
large-232.in, room size 29, solution found
large-232.in, room size 30, solution found
large-232.in, room size 31, solution found
large-232.in, room size 32, solution found
large-232.in, room size 33, solution found
large-232.in, room size 34, solution found
large-232.in, room size 35, solution found
large-232.in, room size 36, solution found
large-232.in, room size 37, solution found
large-232.in, room size 38, solution found
large-232.in, room size 39, solution found
large-232.in, room size 40, solution found
large-232.in, room size 41, solution found
large-232.in, room size 42, solution found
large-232.in, room size 43, solution found
large-232.in, room size 44, solution found
large-232.in, room size 45, solution found
large-232.in, room size 46, solution found
large-232.in, room size 47, solution found
large-232.in, room size 48, solution found
large-232.in, room size 49, solution found
large-232.in, room size 50, solution found
large-232.in 71.293
 
-6219.802256822586
large-233.in, room size 1, no solution
large-233.in, room size 2, no solution
large-233.in, room size 3, no solution
large-233.in, room size 4, no solution
large-233.in, room size 5, no solution
large-233.in, room size 6, no solution
large-233.in, room size 7, no solution
large-233.in, room size 8, no solution
large-233.in, room size 9, no solution
large-233.in, room size 10, no solution
large-233.in, room size 11, no solution
large-233.in, room size 12, no solution
large-233.in, room size 13, solution found
large-233.in, room size 14, no solution
large-233.in, room size 15, no solution
large-233.in, room size 16, no solution
large-233.in, room size 17, no solution
large-233.in, room size 18, no solution
large-233.in, room size 19, no solution
large-233.in, room size 20, no solution
large-233.in, room size 21, no solution
large-233.in, room size 22, no solution
large-233.in, room size 23, no solution
large-233.in, room size 24, no solution
large-233.in, room size 25, no solution
large-233.in, room size 26, solution found
large-233.in, room size 27, solution found
large-233.in, room size 28, solution found
large-233.in, room size 29, solution found
large-233.in, room size 30, solution found
large-233.in, room size 31, solution found
large-233.in, room size 32, solution found
large-233.in, room size 33, solution found
large-233.in, room size 34, solution found
large-233.in, room size 35, solution found
large-233.in, room size 36, solution found
large-233.in, room size 37, solution found
large-233.in, room size 38, solution found
large-233.in, room size 39, solution found
large-233.in, room size 40, solution found
large-233.in, room size 41, solution found
large-233.in, room size 42, solution found
large-233.in, room size 43, solution found
large-233.in, room size 44, solution found
large-233.in, room size 45, solution found
large-233.in, room size 46, solution found
large-233.in, room size 47, solution found
large-233.in, room size 48, solution found
large-233.in, room size 49, solution found
large-233.in, room size 50, solution found
large-233.in 3380.701
 
-2490.3694620132446
large-214.in, room size 1, no solution
large-214.in, room size 2, no solution
large-214.in, room size 3, no solution
large-214.in, room size 4, no solution
large-214.in, room size 5, no solution
large-214.in, room size 6, no solution
large-214.in, room size 7, no solution
large-214.in, room size 8, no solution
large-214.in, room size 9, no solution
large-214.in, room size 10, no solution
large-214.in, room size 11, no solution
large-214.in, room size 12, no solution
large-214.in, room size 13, solution found
large-214.in, room size 14, solution found
large-214.in, room size 15, solution found
large-214.in, room size 16, solution found
large-214.in, room size 17, solution found
large-214.in, room size 18, solution found
large-214.in, room size 19, solution found
large-214.in, room size 20, solution found
large-214.in, room size 21, solution found
large-214.in, room size 22, solution found
large-214.in, room size 23, solution found
large-214.in, room size 24, solution found
large-214.in, room size 25, solution found
large-214.in, room size 26, solution found
large-214.in, room size 27, solution found
large-214.in, room size 28, solution found
large-214.in, room size 29, solution found
large-214.in, room size 30, solution found
large-214.in, room size 31, solution found
large-214.in, room size 32, solution found
large-214.in, room size 33, solution found
large-214.in, room size 34, solution found
large-214.in, room size 35, solution found
large-214.in, room size 36, solution found
large-214.in, room size 37, solution found
large-214.in, room size 38, solution found
large-214.in, room size 39, solution found
large-214.in, room size 40, solution found
large-214.in, room size 41, solution found
large-214.in, room size 42, solution found
large-214.in, room size 43, solution found
large-214.in, room size 44, solution found
large-214.in, room size 45, solution found
large-214.in, room size 46, solution found
large-214.in, room size 47, solution found
large-214.in, room size 48, solution found
large-214.in, room size 49, solution found
large-214.in, room size 50, solution found
large-214.in 1988.0
 
-6276.575859546661
large-216.in, room size 1, no solution
large-216.in, room size 2, no solution
large-216.in, room size 3, no solution
large-216.in, room size 4, no solution
large-216.in, room size 5, no solution
large-216.in, room size 6, no solution
large-216.in, room size 7, solution found
large-216.in, room size 8, solution found
large-216.in, room size 9, solution found
large-216.in, room size 10, solution found
large-216.in, room size 11, solution found
large-216.in, room size 12, solution found
large-216.in, room size 13, solution found
large-216.in, room size 14, solution found
large-216.in, room size 15, solution found
large-216.in, room size 16, solution found
large-216.in, room size 17, solution found
large-216.in, room size 18, solution found
large-216.in, room size 19, solution found
large-216.in, room size 20, solution found
large-216.in, room size 21, solution found
large-216.in, room size 22, solution found
large-216.in, room size 23, solution found
large-216.in, room size 24, solution found
large-216.in, room size 25, solution found
large-216.in, room size 26, solution found
large-216.in, room size 27, solution found
large-216.in, room size 28, solution found
large-216.in, room size 29, solution found
large-216.in, room size 30, solution found
large-216.in, room size 31, solution found
large-216.in, room size 32, solution found
large-216.in, room size 33, solution found
large-216.in, room size 34, solution found
large-216.in, room size 35, solution found
large-216.in, room size 36, solution found
large-216.in, room size 37, solution found
large-216.in, room size 38, solution found
large-216.in, room size 39, solution found
large-216.in, room size 40, solution found
large-216.in, room size 41, solution found
large-216.in, room size 42, solution found
large-216.in, room size 43, solution found
large-216.in, room size 44, solution found
large-216.in, room size 45, solution found
large-216.in, room size 46, solution found
large-216.in, room size 47, solution found
large-216.in, room size 48, solution found
large-216.in, room size 49, solution found
large-216.in, room size 50, solution found
large-216.in 6008.0
 
-6200.263751745224
large-217.in, room size 1, no solution
large-217.in, room size 2, no solution
large-217.in, room size 3, no solution
large-217.in, room size 4, no solution
large-217.in, room size 5, no solution
large-217.in, room size 6, no solution
large-217.in, room size 7, solution found
large-217.in, room size 8, solution found
large-217.in, room size 9, solution found
large-217.in, room size 10, solution found
large-217.in, room size 11, solution found
large-217.in, room size 12, solution found
large-217.in, room size 13, solution found
large-217.in, room size 14, solution found
large-217.in, room size 15, solution found
large-217.in, room size 16, solution found
large-217.in, room size 17, solution found
large-217.in, room size 18, solution found
large-217.in, room size 19, solution found
large-217.in, room size 20, solution found
large-217.in, room size 21, solution found
large-217.in, room size 22, solution found
large-217.in, room size 23, solution found
large-217.in, room size 24, solution found
large-217.in, room size 25, solution found
large-217.in, room size 26, solution found
large-217.in, room size 27, solution found
large-217.in, room size 28, solution found
large-217.in, room size 29, solution found
large-217.in, room size 30, solution found
large-217.in, room size 31, solution found
large-217.in, room size 32, solution found
large-217.in, room size 33, solution found
large-217.in, room size 34, solution found
large-217.in, room size 35, solution found
large-217.in, room size 36, solution found
large-217.in, room size 37, solution found
large-217.in, room size 38, solution found
large-217.in, room size 39, solution found
large-217.in, room size 40, solution found
large-217.in, room size 41, solution found
large-217.in, room size 42, solution found
large-217.in, room size 43, solution found
large-217.in, room size 44, solution found
large-217.in, room size 45, solution found
large-217.in, room size 46, solution found
large-217.in, room size 47, solution found
large-217.in, room size 48, solution found
large-217.in, room size 49, solution found
large-217.in, room size 50, solution found
large-217.in 7389.072
 
-6192.613246202469
large-242.in, room size 1, no solution
large-242.in, room size 2, no solution
large-242.in, room size 3, no solution
large-242.in, room size 4, no solution
large-242.in, room size 5, no solution
large-242.in, room size 6, no solution
large-242.in, room size 7, no solution
large-242.in, room size 8, no solution
large-242.in, room size 9, no solution
large-242.in, room size 10, no solution
large-242.in, room size 11, no solution
large-242.in, room size 12, no solution
large-242.in, room size 13, no solution
large-242.in, room size 14, solution found
large-242.in, room size 15, solution found
large-242.in, room size 16, solution found
large-242.in, room size 17, solution found
large-242.in, room size 18, solution found
large-242.in, room size 19, solution found
large-242.in, room size 20, solution found
large-242.in, room size 21, solution found
large-242.in, room size 22, solution found
large-242.in, room size 23, solution found
large-242.in, room size 24, solution found
large-242.in, room size 25, solution found
large-242.in, room size 26, solution found
large-242.in, room size 27, solution found
large-242.in, room size 28, solution found
large-242.in, room size 29, solution found
large-242.in, room size 30, solution found
large-242.in, room size 31, solution found
large-242.in, room size 32, solution found
large-242.in, room size 33, solution found
large-242.in, room size 34, solution found
large-242.in, room size 35, solution found
large-242.in, room size 36, solution found
large-242.in, room size 37, solution found
large-242.in, room size 38, solution found
large-242.in, room size 39, solution found
large-242.in, room size 40, solution found
large-242.in, room size 41, solution found
large-242.in, room size 42, solution found
large-242.in, room size 43, solution found
large-242.in, room size 44, solution found
large-242.in, room size 45, solution found
large-242.in, room size 46, solution found
large-242.in, room size 47, solution found
large-242.in, room size 48, solution found
large-242.in, room size 49, solution found
large-242.in, room size 50, solution found
large-242.in 306.0
 
-6080.963756799698
large-203.in, room size 1, no solution
large-203.in, room size 2, no solution
large-203.in, room size 3, no solution
large-203.in, room size 4, solution found
large-203.in, room size 5, no solution
large-203.in, room size 6, no solution
large-203.in, room size 7, no solution
large-203.in, room size 8, no solution
large-203.in, room size 9, solution found
large-203.in, room size 10, solution found
large-203.in, room size 11, solution found
large-203.in, room size 12, solution found
large-203.in, room size 13, solution found
large-203.in, room size 14, solution found
large-203.in, room size 15, solution found
large-203.in, room size 16, solution found
large-203.in, room size 17, solution found
large-203.in, room size 18, solution found
large-203.in, room size 19, solution found
large-203.in, room size 20, solution found
large-203.in, room size 21, solution found
large-203.in, room size 22, solution found
large-203.in, room size 23, solution found
large-203.in, room size 24, solution found
large-203.in, room size 25, solution found
large-203.in, room size 26, solution found
large-203.in, room size 27, solution found
large-203.in, room size 28, solution found
large-203.in, room size 29, solution found
large-203.in, room size 30, solution found
large-203.in, room size 31, solution found
large-203.in, room size 32, solution found
large-203.in, room size 33, solution found
large-203.in, room size 34, solution found
large-203.in, room size 35, solution found
large-203.in, room size 36, solution found
large-203.in, room size 37, solution found
large-203.in, room size 38, solution found
large-203.in, room size 39, solution found
large-203.in, room size 40, solution found
large-203.in, room size 41, solution found
large-203.in, room size 42, solution found
large-203.in, room size 43, solution found
large-203.in, room size 44, solution found
large-203.in, room size 45, solution found
large-203.in, room size 46, solution found
large-203.in, room size 47, solution found
large-203.in, room size 48, solution found
large-203.in, room size 49, solution found
large-203.in, room size 50, solution found
large-203.in 22528.231
 
-6119.995218992233
large-237.in, room size 1, no solution
large-237.in, room size 2, no solution
large-237.in, room size 3, no solution
large-237.in, room size 4, no solution
large-237.in, room size 5, no solution
large-237.in, room size 6, no solution
large-237.in, room size 7, no solution
large-237.in, room size 8, no solution
large-237.in, room size 9, no solution
large-237.in, room size 10, solution found
large-237.in, room size 11, no solution
large-237.in, room size 12, solution found
large-237.in, room size 13, solution found
large-237.in, room size 14, solution found
large-237.in, room size 15, solution found
large-237.in, room size 16, solution found
large-237.in, room size 17, solution found
large-237.in, room size 18, solution found
large-237.in, room size 19, solution found
large-237.in, room size 20, solution found
large-237.in, room size 21, solution found
large-237.in, room size 22, solution found
large-237.in, room size 23, solution found
large-237.in, room size 24, solution found
large-237.in, room size 25, solution found
large-237.in, room size 26, solution found
large-237.in, room size 27, solution found
large-237.in, room size 28, solution found
large-237.in, room size 29, solution found
large-237.in, room size 30, solution found
large-237.in, room size 31, solution found
large-237.in, room size 32, solution found
large-237.in, room size 33, solution found
large-237.in, room size 34, solution found
large-237.in, room size 35, solution found
large-237.in, room size 36, solution found
large-237.in, room size 37, solution found
large-237.in, room size 38, solution found
large-237.in, room size 39, solution found
large-237.in, room size 40, solution found
large-237.in, room size 41, solution found
large-237.in, room size 42, solution found
large-237.in, room size 43, solution found
large-237.in, room size 44, solution found
large-237.in, room size 45, solution found
large-237.in, room size 46, solution found
large-237.in, room size 47, solution found
large-237.in, room size 48, solution found
large-237.in, room size 49, solution found
large-237.in, room size 50, solution found
large-237.in 5180.184
 
-6346.751265287399
large-106.in, room size 1, no solution
large-106.in, room size 2, no solution
large-106.in, room size 3, no solution
large-106.in, room size 4, no solution
large-106.in, room size 5, no solution
large-106.in, room size 6, no solution
large-106.in, room size 7, no solution
large-106.in, room size 8, no solution
large-106.in, room size 9, no solution
large-106.in, room size 10, solution found
large-106.in, room size 11, solution found
large-106.in, room size 12, solution found
large-106.in, room size 13, solution found
large-106.in, room size 14, solution found
large-106.in, room size 15, solution found
large-106.in, room size 16, solution found
large-106.in, room size 17, solution found
large-106.in, room size 18, solution found
large-106.in, room size 19, solution found
large-106.in, room size 20, solution found
large-106.in, room size 21, solution found
large-106.in, room size 22, solution found
large-106.in, room size 23, solution found
large-106.in, room size 24, solution found
large-106.in, room size 25, solution found
large-106.in, room size 26, solution found
large-106.in, room size 27, solution found
large-106.in, room size 28, solution found
large-106.in, room size 29, solution found
large-106.in, room size 30, solution found
large-106.in, room size 31, solution found
large-106.in, room size 32, solution found
large-106.in, room size 33, solution found
large-106.in, room size 34, solution found
large-106.in, room size 35, solution found
large-106.in, room size 36, solution found
large-106.in, room size 37, solution found
large-106.in, room size 38, solution found
large-106.in, room size 39, solution found
large-106.in, room size 40, solution found
large-106.in, room size 41, solution found
large-106.in, room size 42, solution found
large-106.in, room size 43, solution found
large-106.in, room size 44, solution found
large-106.in, room size 45, solution found
large-106.in, room size 46, solution found
large-106.in, room size 47, solution found
large-106.in, room size 48, solution found
large-106.in, room size 49, solution found
large-106.in, room size 50, solution found
large-106.in 1591.6630000000002
 
-5923.928811311722
large-239.in, room size 1, no solution
large-239.in, room size 2, no solution
large-239.in, room size 3, no solution
large-239.in, room size 4, no solution
large-239.in, room size 5, solution found
large-239.in, room size 6, solution found
large-239.in, room size 7, solution found
large-239.in, room size 8, solution found
large-239.in, room size 9, solution found
large-239.in, room size 10, solution found
large-239.in, room size 11, solution found
large-239.in, room size 12, solution found
large-239.in, room size 13, solution found
large-239.in, room size 14, solution found
large-239.in, room size 15, solution found
large-239.in, room size 16, solution found
large-239.in, room size 17, solution found
large-239.in, room size 18, solution found
large-239.in, room size 19, solution found
large-239.in, room size 20, solution found
large-239.in, room size 21, solution found
large-239.in, room size 22, solution found
large-239.in, room size 23, solution found
large-239.in, room size 24, solution found
large-239.in, room size 25, solution found
large-239.in, room size 26, solution found
large-239.in, room size 27, solution found
large-239.in, room size 28, solution found
large-239.in, room size 29, solution found
large-239.in, room size 30, solution found
large-239.in, room size 31, solution found
large-239.in, room size 32, solution found
large-239.in, room size 33, solution found
large-239.in, room size 34, solution found
large-239.in, room size 35, solution found
large-239.in, room size 36, solution found
large-239.in, room size 37, solution found
large-239.in, room size 38, solution found
large-239.in, room size 39, solution found
large-239.in, room size 40, solution found
large-239.in, room size 41, solution found
large-239.in, room size 42, solution found
large-239.in, room size 43, solution found
large-239.in, room size 44, solution found
large-239.in, room size 45, solution found
large-239.in, room size 46, solution found
large-239.in, room size 47, solution found
large-239.in, room size 48, solution found
large-239.in, room size 49, solution found
large-239.in, room size 50, solution found
large-239.in 13483.69
 
-6235.159485340118
large-231.in, room size 1, no solution
large-231.in, room size 2, no solution
large-231.in, room size 3, no solution
large-231.in, room size 4, no solution
large-231.in, room size 5, no solution
large-231.in, room size 6, no solution
large-231.in, room size 7, no solution
large-231.in, room size 8, no solution
large-231.in, room size 9, no solution
large-231.in, room size 10, solution found
large-231.in, room size 11, no solution
large-231.in, room size 12, no solution
large-231.in, room size 13, no solution
large-231.in, room size 14, solution found
large-231.in, room size 15, solution found
large-231.in, room size 16, solution found
large-231.in, room size 17, solution found
large-231.in, room size 18, solution found
large-231.in, room size 19, solution found
large-231.in, room size 20, solution found
large-231.in, room size 21, solution found
large-231.in, room size 22, solution found
large-231.in, room size 23, solution found
large-231.in, room size 24, solution found
large-231.in, room size 25, solution found
large-231.in, room size 26, solution found
large-231.in, room size 27, solution found
large-231.in, room size 28, solution found
large-231.in, room size 29, solution found
large-231.in, room size 30, solution found
large-231.in, room size 31, solution found
large-231.in, room size 32, solution found
large-231.in, room size 33, solution found
large-231.in, room size 34, solution found
large-231.in, room size 35, solution found
large-231.in, room size 36, solution found
large-231.in, room size 37, solution found
large-231.in, room size 38, solution found
large-231.in, room size 39, solution found
large-231.in, room size 40, solution found
large-231.in, room size 41, solution found
large-231.in, room size 42, solution found
large-231.in, room size 43, solution found
large-231.in, room size 44, solution found
large-231.in, room size 45, solution found
large-231.in, room size 46, solution found
large-231.in, room size 47, solution found
large-231.in, room size 48, solution found
large-231.in, room size 49, solution found
large-231.in, room size 50, solution found
large-231.in 122.9
 
-6066.813629865646
large-241.in, room size 1, no solution
large-241.in, room size 2, no solution
large-241.in, room size 3, no solution
large-241.in, room size 4, no solution
large-241.in, room size 5, no solution
large-241.in, room size 6, no solution
large-241.in, room size 7, no solution
large-241.in, room size 8, no solution
large-241.in, room size 9, no solution
large-241.in, room size 10, solution found
large-241.in, room size 11, solution found
large-241.in, room size 12, solution found
large-241.in, room size 13, solution found
large-241.in, room size 14, solution found
large-241.in, room size 15, solution found
large-241.in, room size 16, solution found
large-241.in, room size 17, solution found
large-241.in, room size 18, solution found
large-241.in, room size 19, solution found
large-241.in, room size 20, solution found
large-241.in, room size 21, solution found
large-241.in, room size 22, solution found
large-241.in, room size 23, solution found
large-241.in, room size 24, solution found
large-241.in, room size 25, solution found
large-241.in, room size 26, solution found
large-241.in, room size 27, solution found
large-241.in, room size 28, solution found
large-241.in, room size 29, solution found
large-241.in, room size 30, solution found
large-241.in, room size 31, solution found
large-241.in, room size 32, solution found
large-241.in, room size 33, solution found
large-241.in, room size 34, solution found
large-241.in, room size 35, solution found
large-241.in, room size 36, solution found
large-241.in, room size 37, solution found
large-241.in, room size 38, solution found
large-241.in, room size 39, solution found
large-241.in, room size 40, solution found
large-241.in, room size 41, solution found
large-241.in, room size 42, solution found
large-241.in, room size 43, solution found
large-241.in, room size 44, solution found
large-241.in, room size 45, solution found
large-241.in, room size 46, solution found
large-241.in, room size 47, solution found
large-241.in, room size 48, solution found
large-241.in, room size 49, solution found
large-241.in, room size 50, solution found
large-241.in 2823.263
 
-6227.5189204216
large-103.in, room size 1, no solution
large-103.in, room size 2, no solution
large-103.in, room size 3, no solution
